sourcedId,username,givenName,familyName
PROF_100,professor.teste@escolasaodomingos.com.br,Professor,Teste
ALUNO_90001,aluno.teste01@aluno.escolasaodomingos.com.br,Aluno,Teste01
ALUNO_90002,aluno.teste02@aluno.escolasaodomingos.com.br,Aluno,Teste02
ALUNO_90003,aluno.teste03@aluno.escolasaodomingos.com.br,Aluno,Teste03
ALUNO_90004,aluno.teste04@aluno.escolasaodomingos.com.br,Aluno,Teste04
ALUNO_90005,aluno.teste05@aluno.escolasaodomingos.com.br,Aluno,Teste05
ALUNO_90006,aluno.teste06@aluno.escolasaodomingos.com.br,Aluno,Teste06
ALUNO_90007,aluno.teste07@aluno.escolasaodomingos.com.br,Aluno,Teste07
ALUNO_90008,aluno.teste08@aluno.escolasaodomingos.com.br,Aluno,Teste08
ALUNO_90009,aluno.teste09@aluno.escolasaodomingos.com.br,Aluno,Teste09
ALUNO_90010,aluno.teste10@aluno.escolasaodomingos.com.br,Aluno,Teste10
ALUNO_90011,aluno.teste11@aluno.escolasaodomingos.com.br,Aluno,Teste11
ALUNO_90012,aluno.teste12@aluno.escolasaodomingos.com.br,Aluno,Teste12
ALUNO_90013,aluno.teste13@aluno.escolasaodomingos.com.br,Aluno,Teste13
ALUNO_90014,aluno.teste14@aluno.escolasaodomingos.com.br,Aluno,Teste14
ALUNO_90015,aluno.teste15@aluno.escolasaodomingos.com.br,Aluno,Teste15
ALUNO_90016,aluno.teste16@aluno.escolasaodomingos.com.br,Aluno,Teste16
ALUNO_90017,aluno.teste17@aluno.escolasaodomingos.com.br,Aluno,Teste17
ALUNO_90018,aluno.teste18@aluno.escolasaodomingos.com.br,Aluno,Teste18
ALUNO_90019,aluno.teste19@aluno.escolasaodomingos.com.br,Aluno,Teste19
ALUNO_90020,aluno.teste20@aluno.escolasaodomingos.com.br,Aluno,Teste20
